"source_taxon_name","source_taxon_path","source_taxon_path_ids","source_specimen_life_stage_id","source_specimen_life_stage","source_specimen_physiological_state_id","source_specimen_physiological_state","source_specimen_body_part_id","source_specimen_body_part","source_specimen_sex_id","source_specimen_sex","interaction_type","target_taxon_name","target_taxon_path","target_taxon_path_ids","target_specimen_life_stage_id","target_specimen_life_stage","target_specimen_physiological_state_id","target_specimen_physiological_state","target_specimen_body_part_id","target_specimen_body_part","target_specimen_sex_id","target_specimen_sex","latitude","longitude","study_citation","study_url","study_source_citation"
"Xanthium pungens","Plantae | Tracheophyta | Magnoliopsida | Asterales | Asteraceae | Xanthium | Xanthium pungens","EOL_V2:281 | EOL:4077 | EOL:283 | EOL:4205 | EOL:4206 | EOL_V2:38875 | EOL:503172",,,,,,,,,"eatenBy","Cynthia cardui","Animalia | Arthropoda | Insecta | Lepidoptera | Papilionoidea | Nymphalidae | Cynthia | Cynthia cardui","EOL:1 | EOL:164 | EOL:344 | EOL:747 | EOL_V2:854 | EOL:876 | EOL:19187 | EOL:156096","UBERON:0000069","larval stage",,,,,,,35.68536,139.75309,"Saito MU, Jinbo U, Yago M, Kurashima O, Ito M (2016) Larval host records of butterflies in Japan. Ecological Research 31: 491. doi:10.1007/s11284-016-1365-8. Accessed at <http://hostbj.lepumus.net/home/hostdb_ver_1_0.txt> on 26 Oct 2020.","http://hostbj.lepumus.net/home/hostdb_ver_1_0.txt","Saito MU, Jinbo U, Yago M, Kurashima O, Ito M (2016) Larval host records of butterflies in Japan. Ecological Research 31: 491. doi:10.1007/s11284-016-1365-8"
"Xanthium pungens","Plantae | Tracheophyta | Magnoliopsida | Asterales | Asteraceae | Xanthium | Xanthium pungens","EOL_V2:281 | EOL:4077 | EOL:283 | EOL:4205 | EOL:4206 | EOL_V2:38875 | EOL:503172",,,,,,,,,"interactsWith","Podosphaera fusca","Fungi | Ascomycota | Leotiomycetes | Erysiphales | Erysiphaceae | Podosphaera | Podosphaera fusca","EOL:5559 | EOL:5577 | EOL:2861056 | EOL:5623 | EOL:5624 | EOL:21115 | EOL:985688",,,,,,,,,,,"A. Thessen. 2014. Species associations extracted from EOL text data objects via text mining. Accessed at <https://github.com/Bhanditz/pseudonitzchia/archive/e5838965a186fba4b7215cd0d179c4526773bad5.zip> on 26 Oct 2020.","associations_all_revised.txt","A. Thessen. 2014. Species associations extracted from EOL text data objects via text mining."
"Xanthium pungens","Plantae | Tracheophyta | Magnoliopsida | Asterales | Asteraceae | Xanthium | Xanthium pungens","EOL_V2:281 | EOL:4077 | EOL:283 | EOL:4205 | EOL:4206 | EOL_V2:38875 | EOL:503172",,,,,,,,,"interactsWith","Podosphaera fusca","Fungi | Ascomycota | Leotiomycetes | Erysiphales | Erysiphaceae | Podosphaera | Podosphaera fusca","EOL:5559 | EOL:5577 | EOL:2861056 | EOL:5623 | EOL:5624 | EOL:21115 | EOL:985688",,,,,,,,,,,"A. Thessen. 2014. Species associations extracted from EOL text data objects via text mining. Accessed at <https://github.com/Bhanditz/pseudonitzchia/archive/e5838965a186fba4b7215cd0d179c4526773bad5.zip> on 26 Oct 2020.","associations_all_revised.txt","A. Thessen. 2014. Species associations extracted from EOL text data objects via text mining."
"Xanthium pungens","Plantae | Tracheophyta | Magnoliopsida | Asterales | Asteraceae | Xanthium | Xanthium pungens","EOL_V2:281 | EOL:4077 | EOL:283 | EOL:4205 | EOL:4206 | EOL_V2:38875 | EOL:503172",,,,,,,,,"interactsWith","Podosphaera fusca","Fungi | Ascomycota | Leotiomycetes | Erysiphales | Erysiphaceae | Podosphaera | Podosphaera fusca","EOL:5559 | EOL:5577 | EOL:2861056 | EOL:5623 | EOL:5624 | EOL:21115 | EOL:985688",,,,,,,,,,,"A. Thessen. 2014. Species associations extracted from EOL text data objects via text mining. Accessed at <https://github.com/Bhanditz/pseudonitzchia/archive/e5838965a186fba4b7215cd0d179c4526773bad5.zip> on 26 Oct 2020.","associations_all_revised.txt","A. Thessen. 2014. Species associations extracted from EOL text data objects via text mining."
"Xanthium pungens","Plantae | Tracheophyta | Magnoliopsida | Asterales | Asteraceae | Xanthium | Xanthium pungens","EOL_V2:281 | EOL:4077 | EOL:283 | EOL:4205 | EOL:4206 | EOL_V2:38875 | EOL:503172",,,,,,,,,"interactsWith","Conuropsis carolinensis","Animalia | Chordata | Aves | Psittaciformes | Psittacidae | Conuropsis | Conuropsis carolinensis","EOL:1 | EOL:694 | EOL:695 | EOL:1590 | EOL:1591 | EOL:13917 | EOL_V2:1047280",,,,,,,,,,,"A. Thessen. 2014. Species associations extracted from EOL text data objects via text mining. Accessed at <https://github.com/Bhanditz/pseudonitzchia/archive/e5838965a186fba4b7215cd0d179c4526773bad5.zip> on 26 Oct 2020.","associations_all_revised.txt","A. Thessen. 2014. Species associations extracted from EOL text data objects via text mining."
"Xanthium pungens","Plantae | Tracheophyta | Magnoliopsida | Asterales | Asteraceae | Xanthium | Xanthium pungens","EOL_V2:281 | EOL:4077 | EOL:283 | EOL:4205 | EOL:4206 | EOL_V2:38875 | EOL:503172",,,,,,,,,"interactsWith","Xanthium strumarium","Plantae | Tracheophyta | Magnoliopsida | Asterales | Asteraceae | Xanthium | Xanthium strumarium","GBIF:6 | GBIF:7707728 | GBIF:220 | GBIF:414 | GBIF:3065 | GBIF:3089139 | GBIF:3089154",,,,,,,,,,,"A. Thessen. 2014. Species associations extracted from EOL text data objects via text mining. Accessed at <https://github.com/Bhanditz/pseudonitzchia/archive/e5838965a186fba4b7215cd0d179c4526773bad5.zip> on 26 Oct 2020.","associations_all_revised.txt","A. Thessen. 2014. Species associations extracted from EOL text data objects via text mining."
"Xanthium pungens","Plantae | Tracheophyta | Magnoliopsida | Asterales | Asteraceae | Xanthium | Xanthium pungens","EOL_V2:281 | EOL:4077 | EOL:283 | EOL:4205 | EOL:4206 | EOL_V2:38875 | EOL:503172",,,,,,,,,"interactsWith","Podosphaera fusca","Fungi | Ascomycota | Leotiomycetes | Erysiphales | Erysiphaceae | Podosphaera | Podosphaera fusca","EOL:5559 | EOL:5577 | EOL:2861056 | EOL:5623 | EOL:5624 | EOL:21115 | EOL:985688",,,,,,,,,,,"A. Thessen. 2014. Species associations extracted from EOL text data objects via text mining. Accessed at <https://github.com/Bhanditz/pseudonitzchia/archive/e5838965a186fba4b7215cd0d179c4526773bad5.zip> on 26 Oct 2020.","associations_all_revised.txt","A. Thessen. 2014. Species associations extracted from EOL text data objects via text mining."
"Xanthium pungens","Plantae | Tracheophyta | Magnoliopsida | Asterales | Asteraceae | Xanthium | Xanthium pungens","EOL_V2:281 | EOL:4077 | EOL:283 | EOL:4205 | EOL:4206 | EOL_V2:38875 | EOL:503172",,,,,,,,,"interactsWith","Podosphaera fusca","Fungi | Ascomycota | Leotiomycetes | Erysiphales | Erysiphaceae | Podosphaera | Podosphaera fusca","EOL:5559 | EOL:5577 | EOL:2861056 | EOL:5623 | EOL:5624 | EOL:21115 | EOL:985688",,,,,,,,,,,"A. Thessen. 2014. Species associations extracted from EOL text data objects via text mining. Accessed at <https://github.com/EOL/pseudonitzchia/archive/e5838965a186fba4b7215cd0d179c4526773bad5.zip> on 26 Oct 2020.","associations_all_revised.txt","A. Thessen. 2014. Species associations extracted from EOL text data objects via text mining."
"Xanthium pungens","Plantae | Tracheophyta | Magnoliopsida | Asterales | Asteraceae | Xanthium | Xanthium pungens","EOL_V2:281 | EOL:4077 | EOL:283 | EOL:4205 | EOL:4206 | EOL_V2:38875 | EOL:503172",,,,,,,,,"interactsWith","Podosphaera fusca","Fungi | Ascomycota | Leotiomycetes | Erysiphales | Erysiphaceae | Podosphaera | Podosphaera fusca","EOL:5559 | EOL:5577 | EOL:2861056 | EOL:5623 | EOL:5624 | EOL:21115 | EOL:985688",,,,,,,,,,,"A. Thessen. 2014. Species associations extracted from EOL text data objects via text mining. Accessed at <https://github.com/EOL/pseudonitzchia/archive/e5838965a186fba4b7215cd0d179c4526773bad5.zip> on 26 Oct 2020.","associations_all_revised.txt","A. Thessen. 2014. Species associations extracted from EOL text data objects via text mining."
"Xanthium pungens","Plantae | Tracheophyta | Magnoliopsida | Asterales | Asteraceae | Xanthium | Xanthium pungens","EOL_V2:281 | EOL:4077 | EOL:283 | EOL:4205 | EOL:4206 | EOL_V2:38875 | EOL:503172",,,,,,,,,"interactsWith","Podosphaera fusca","Fungi | Ascomycota | Leotiomycetes | Erysiphales | Erysiphaceae | Podosphaera | Podosphaera fusca","EOL:5559 | EOL:5577 | EOL:2861056 | EOL:5623 | EOL:5624 | EOL:21115 | EOL:985688",,,,,,,,,,,"A. Thessen. 2014. Species associations extracted from EOL text data objects via text mining. Accessed at <https://github.com/EOL/pseudonitzchia/archive/e5838965a186fba4b7215cd0d179c4526773bad5.zip> on 26 Oct 2020.","associations_all_revised.txt","A. Thessen. 2014. Species associations extracted from EOL text data objects via text mining."
